	from_Z_0	from_Z_1	from_Z_2	from_Z_3	from_Z_4	from_Z_5	from_Z_6	from_Z_7	from_Z_8	from_Z_9	from_Z_10	from_Z_11	from_Z_12	from_Z_13	from_Z_14	from_Z_15	from_Z_16	from_Z_17	from_Z_18	from_Z_19	from_Z_20	from_Z_21	from_Z_22	from_Z_23	from_Z_24	from_Z_25	from_Z_26	from_Z_27	from_Z_28	from_Z_29	from_Z_30	from_Z_31	from_Z_32	from_Z_33	from_Z_34	from_Z_35	from_Z_36	from_Z_37	from_Z_38	from_Z_39
to_Z_10	0.018064402903900004	0.041389238969400007	0.022750242526700003	0.022218560686499998	0.0176206345056	0.0181887455645	0.0203023236488	0.017342673677299997	0.0176886861519	0.032762190638599996	0.0377927093809	0.0171662781901	0.050224897090099994	0.0181005669458	0.019757080067799998	0.028857944773400004	0.0188606863293	0.030759070769000002	0.0311267787733	0.0376526779724	0.033074193361900005	0.0313060372327	0.043756819060899996	0.12375738909600001	0.022944424850400002	0.0216866692628	0.012816764810299999	0.04660394841519999	0.0213274123918	0.0189394981064	0.0432239083064	0.0251721839657	0.0549514046963	0.025500601126900002	0.0219573202263	0.13289112795900002	0.0145734462114	0.029143565562999997	0.0440383975595	0.034268911377099996
to_Z_11	0.0155392410042	0.019093007924400003	0.0173737174124	0.0128346737464	0.0282356196749	0.009540641908739999	0.0192530424836	0.0180894622936	0.017333587893099998	0.0200870738913	0.0152879811625	0.0115460779654	0.011839089296899998	0.0138048577583	0.0112660806677	0.0140173643661	0.0157702957924	0.0124881043741	0.0152117288475	0.010461315282700001	0.0176105706218	0.033342242434000004	0.015721641477900002	0.012743380749	0.0207186218769	0.013538462054000002	0.0135483382614	0.021147461169099997	0.0132348998768	0.010971183495	0.011771599651600002	0.013253165292499999	0.0104929122914	0.0181276508953	0.0160252000892	0.0166143218537	0.0116093859302	0.011433358967899999	0.00947099898912	0.0155997835112
to_Z_12	0.0274768274844	0.0410884624931	0.0239680548313	0.029846759014	0.019541093927099996	0.018529414728599997	0.027263973560799997	0.030275291256	0.0195804629123	0.0219441038477	0.025698937437800003	0.015106184620700002	0.0161951600102	0.017788529905	0.015554268874999999	0.012786874012500001	0.025493910276599998	0.025104943844400002	0.013541554796799998	0.0305680474106	0.0169519491467	0.016709434330299998	0.028939736150500002	0.024836885435599997	0.029038237882300002	0.0196588252733	0.08921820822080001	0.0252850355272	0.015852894633200002	0.0276929936919	0.0323992282652	0.016656406138799998	0.0240972882719	0.0494426837235	0.0182826436237	0.0146512753329	0.0265276754815	0.026417582570599996	0.010735834516200003	0.0193261336795
to_Z_13	0.0155575246151	0.0116145143436	0.019511443643900003	0.017607258916200002	0.013529701754399999	0.0175825972904	0.0289270734064	0.0133052838705	0.0190027693582	0.021001557095099998	0.0166668769013	0.0116203410311	0.00995204347456	0.0225645078114	0.0120547165486	0.0129316215884	0.030131883492400004	0.031879830760400005	0.0136628696916	0.00943873899166	0.0152570391575	0.021427516925499997	0.014728536022399999	0.0206810497983	0.0236098899866	0.0182204066988	0.0165704518207	0.0259582059613	0.0152303707336	0.0130133661708	0.00916167351273	0.013917929154100001	0.0325350088833	0.0182443078279	0.0101194745134	0.015840186314100002	0.012525900896399999	0.008585912988670001	0.015870952850299998	0.025171081390599998
to_Z_14	0.075661313715	0.0416477327695	0.0638861602569	0.031458589342400006	0.0200648993904	0.0219918002619	0.036280225103199996	0.0275259433822	0.11974698056600001	0.0844021960458	0.0410165711108	0.0671105018897	0.117965694997	0.0373090076693	0.0295224136398	0.134137423521	0.0272523459352	0.117123489976	0.036953959827	0.017887475805099997	0.08555245384360001	0.122024262058	0.051620446496800004	0.049313502016199995	0.0580794576767	0.0824339698109	0.016990475512	0.048642755214	0.147274300476	0.0187825407859	0.0309734858366	0.0881917711318	0.053915607765600004	0.0217772048094	0.0442690434012	0.066690487508	0.125178868072	0.0223104571882	0.20361995501400001	0.0166213870016
to_Z_15	0.0160837100999	0.022181565811200003	0.0163165605296	0.0179535948499	0.0147459084015	0.017352508567099998	0.019144602372	0.027014245370499998	0.0170289572183	0.0197888810532	0.0187194342013	0.0131110335831	0.0198150802913	0.0129090628806	0.0133283979375	0.0167012180461	0.0172486932551	0.0110630873748	0.00972300943985	0.00879024756605	0.0312355306459	0.0128386232021	0.020744827197200003	0.0110850493836	0.022112974751599998	0.015241766351700001	0.0182971236078	0.019695468660400003	0.0137294925966	0.010393672653799998	0.0131694436619	0.0115105212123	0.0165503577674	0.0128806540988	0.015459354609999998	0.0121653565438	0.0123816404366	0.015305552004200002	0.0101352245504	0.0149195858642
to_Z_16	0.018305099484099998	0.018335119708200003	0.042679080773800004	0.0200898156103	0.015258178143499999	0.0134064050459	0.020369920394599998	0.018672077926099998	0.0175195126332	0.020284342889799998	0.0342669963902	0.0146750692423	0.0143194007527	0.0211495395009	0.023749557986599997	0.021279727072900004	0.037411462353	0.0205128947429	0.0315209172686	0.07266778396210001	0.0147687484083	0.0211367033714	0.018509497537900002	0.0334987947155	0.021152705224	0.025711167604099996	0.015336594729299999	0.018400787987	0.017483079018400002	0.015760973933299997	0.0292780359257	0.0174504127399	0.020075788348099997	0.018170184954099996	0.0146183059887	0.0112853508774	0.017590395735900002	0.0193570329802	0.0140413918775	0.022851552792099997
to_Z_17	0.0163191091014	0.020011279299299998	0.014867546669	0.015472523489600001	0.0148375974165	0.022903166063599996	0.0191809141633	0.025521369306900004	0.0171360551979	0.0202424733225	0.023936819063300002	0.0110447817523	0.0136010510493	0.015750138371	0.022801822712400003	0.013030247306	0.014819761765299998	0.0117470526085	0.009513988114549999	0.0488220900385	0.0151766232749	0.0117223442925	0.015699116532499998	0.0122297645374	0.0206440813304	0.0164425534275	0.025673219474299996	0.0162439921405	0.013869980565500001	0.0116556904099	0.0451302816756	0.0146479341735	0.012375748227	0.0158590320918	0.0119845329327	0.0145003739918	0.0134975620638	0.017622592963499998	0.0160997906806	0.015879210736
to_Z_18	0.0140816229309	0.010897009572100002	0.0243314800884	0.0120005570695	0.013501574919600001	0.029107187066700003	0.0220119616203	0.0162515094669	0.0258014904809	0.0241165813314	0.0137169779373	0.017506851305900004	0.009478184782999999	0.0168382933091	0.0204879940281	0.0179354427989	0.0254903179697	0.026039162271099998	0.0106494618425	0.0102466231605	0.00699321455948	0.0204875828591	0.0187269534936	0.0156379143244	0.0185023302485	0.0162062134222	0.0100832217489	0.0129046405	0.0610844311101	0.005314480750289999	0.0164223632343	0.0209658093252	0.003933500733199999	0.013836318394	0.0080803952437	0.0103394093609	0.0205960639094	0.00579026210034	0.0125196400547	0.0220038121666
to_Z_19	0.0221723778517	0.0180887175451	0.015583788618700002	0.020782895440900003	0.0349534139861	0.00665795461271	0.019488875981700002	0.0106058732943	0.018865794603599998	0.01957889672	0.012283058255300001	0.0116550101889	0.0179281195657	0.0100843774658	0.016842008967	0.015029496921600001	0.022352545106299998	0.014837505808299999	0.023461342424499997	0.0192653387858	0.013756816690499999	0.015295456434799999	0.015316720549600002	0.0108093072805	0.0220176427094	0.016375460667299998	0.014755286368400001	0.015955497061	0.014489747420900001	0.0274980085408	0.009327720968010001	0.015417380929799999	0.012005979501	0.0124318627788	0.0638878385569	0.009821951775440001	0.0108732884499	0.013284291995000001	0.011959280843499998	0.0157077937446
