	name	rush	fix
260	Love Inc.	0.974586679984	1.77156499627
261	PJ Harvey	0.996727076235	1.63053656183
262	Erlend Øye	0.992714899935	1.62488860979
263	Peshay	0.980877224946	1.81680334162
264	Afghan Whigs	0.993316643342	1.65602366806
265	Herbert	0.990576342184	1.78879202034
266	Green Day	0.996231762107	1.63608627273
267	Decapitated	0.996392131403	1.70872185543
268	Eels	0.991373707333	1.72184535026
269	Spock's Beard	0.994228367827	1.63255686313
270	Pizzicato Five	0.9897287581	1.81768925776
271	Air Review	0.977633343838	2.01171035372
272	Tears for Fears	0.991719451073	1.697069574
273	T. Raumschmiere	0.98082884919	1.81116963337
274	Wham!	0.987147854456	1.70423998747
275	Men at Work	0.986088083952	1.67175955951
276	Black	0.984142499389	1.64506487014
277	Second Sex	0.980443089295	2.10585749866
278	Goldie Lookin' Chain	0.987157354572	1.72363823416
279	Whitney Houston	0.99329140341	1.74229662789
280	Filter	0.990714938384	1.778657994
281	Elvis Costello & The Attractions	0.988291944837	1.77697332523
282	The Datsuns	0.984930460546	1.8245335538
283	Echo & the Bunnymen	0.993753523632	1.70527175095
284	Mathemagic	0.982335647132	1.75083043276
285	Magion	0.985618894313	1.8797707174
286	Cursive	0.993716492795	1.6398555812
287	Bonnie Somerville	0.982797168949	1.52148211704
288	Poe	0.993731128478	1.6679328875
289	Against Me!	0.992936729117	1.7189917193
290	The Blood Brothers	0.99426437282	1.64182381686
291	Arcade Fire	0.996914486117	1.63569659085
292	John Murphy	0.988766069107	1.77497150126
293	The Human League	0.986802778686	1.78544237758
294	Fernando Milagros	0.985001468065	1.94031124056
295	Selena	0.997228236034	1.70573247059
296	Apostle of Hustle	0.985225296861	1.73893249772
297	Belvedere	0.986009834781	2.01521954078
298	Blue States	0.9825883573	1.8294422822
299	Pitchshifter	0.98632627518	1.86451850584
300	Shadows Chasing Ghosts	0.981710959743	1.90897313949
301	Link 80	0.98891795203	1.93826139086
302	of Montreal	0.995636553691	1.63435912315
303	Nerf Herder	0.965443836793	1.91559603208
304	Jedi Mind Tricks	0.993810135753	1.7381282471
305	Final	0.984033256454	2.41781020991
306	Alias	0.986785311184	1.9310363347
307	Forgotten Sunrise	0.977820152409	1.73066356828
308	Mirah	0.987134954156	1.7579763227
309	T.I. feat. Justin Timberlake	0.996259385036	1.00205860275
310	Deep Puddle Dynamics	0.991473689669	1.8714642798
311	Odd Nosdam	0.974379571274	2.14421627121
312	Themselves	0.98661027896	1.90184568107
313	Them	0.980999684476	1.70655178993
314	Sage Francis	0.992083486443	1.77284328246
315	Pussy Galore	0.985183567617	1.80368276309
316	Iceman	0.983901460722	1.88186906502
317	Erase Errata	0.973822398894	2.02577959454
318	Me First and the Gimme Gimmes	0.986824539496	1.82417708108
319	Part Chimp	0.994488338417	1.64176853533
