topic	TopUser_0	Pzu_0	TopUser_1	Pzu_1	TopUser_2	Pzu_2	TopUser_3	Pzu_3	TopUser_4	Pzu_4	TopUser_5	Pzu_5	TopUser_6	Pzu_6	TopUser_7	Pzu_7	TopUser_8	Pzu_8	TopUser_9	Pzu_9	TopObj_0	Poz_0	TopObj_1	Poz_1	TopObj_2	Poz_2	TopObj_3	Poz_3	TopObj_4	Poz_4	TopObj_5	Poz_5	TopObj_6	Poz_6	TopObj_7	Poz_7	TopObj_8	Poz_8	TopObj_9	Poz_9	AgeUser_0	Country_0	AgeUser_1	Country_1	AgeUser_2	Country_2	AgeUser_3	Country_3	AgeUser_4	Country_4	AgeUser_5	Country_5	AgeUser_6	Country_6	AgeUser_7	Country_7	AgeUser_8	Country_8	AgeUser_9	Country_9
27	14372	0.964610869067	790	0.941360467634	2123	0.932877761414	2833	0.901061830173	2555	0.891046413502	1852	0.880628536285	791	0.856175104229	537	0.85554729388	1898	0.853055263158	10799	0.786148148148	Adele	0.0755046197256	Amy Winehouse	0.0536519051132	P!nk	0.0482784392228	Pink	0.0324834804143	Alanis Morissette	0.0257435337391	Alicia Keys	0.0209735088361	Florence + the Machine	0.0187335825239	Christina Aguilera	0.0178333975757	Gwen Stefani	0.0152014985227	Coldplay	0.0151881949962	19	BR	26	UK	22	RO	25	NL	0	CA	20	NL	32	HR	24	US	28	BR	19	BR
28	3261	0.976504310345	477	0.968428846154	9248	0.965314420804	8696	0.959967767929	3414	0.931921286031	2040	0.93174349711	6313	0.928725486629	1452	0.922509853783	8218	0.917080152672	8838	0.910743670886	Miley Cyrus	0.0946391550026	Taylor Swift	0.0669156052202	Demi Lovato	0.0649194869255	Britney Spears	0.0497601039903	Selena Gomez & the Scene	0.0451317648374	RBD	0.0376997774519	Katy Perry	0.0355866168282	Jonas Brothers	0.0321914356155	Avril Lavigne	0.0320232640512	Ashley Tisdale	0.0309608585821	17	BR	21	BR	21	ES	0	US	19	SA	21	BR	17	BR	19	US	20	MX	20	BR
29	3679	0.995187114846	6674	0.993903	1603	0.991959526902	1675	0.990491955805	1647	0.986828761651	4337	0.977197755961	39	0.970544224766	551	0.97053798127	1220	0.963526008002	9553	0.962096223487	Eminem	0.0573489106733	Kanye West	0.0518012829671	Jay-Z	0.0462006146456	Nas	0.0402448339832	50 Cent	0.0351950029549	2Pac	0.0342285999797	The Game	0.0305555052619	Snoop Dogg	0.0290519321443	T.I.	0.0262226337074	Lil' Wayne	0.0162699926018	23	PL	20	PL	25	FR	25	DE	18	SE	0	PL	0	UK	21	AU	19	RU	19	PL
30	3271	0.992205940758	3341	0.987085418156	2136	0.981093304061	4286	0.959455081001	1053	0.958358631561	658	0.943130615888	4328	0.931376047198	5480	0.858800539084	2051	0.765035076923	3626	0.738072575017	Hey	0.0825814997242	Myslovitz	0.0645956045125	happysad	0.0472655111887	Coma	0.027316963645	Florence + the Machine	0.0260148373473	Evanescence	0.02563074688	Nosowska	0.0254811042837	Pidżama Porno	0.0174171865084	Adele	0.0165067632144	Muse	0.0162072969153	18	PL	23	PL	25	PL	24	PL	20	PL	27	PL	20	PL	20	PL	27	PL	21	PL
31	9001	0.981589111017	7097	0.956055277705	8697	0.910464732856	3951	0.895203449377	6984	0.894698564593	5875	0.883335117057	2863	0.8465625	2433	0.837236312057	9126	0.828282296651	4232	0.820405925926	Rihanna	0.0601735505466	Black Eyed Peas	0.0405231724029	David Guetta	0.0391463717464	Britney Spears	0.0361064039836	Lady Gaga	0.0341800727226	Katy Perry	0.0317825028661	Avril Lavigne	0.025465092785	Pitbull	0.0237305537676	Ke$ha	0.0223864654168	Inna	0.022036058013	17	EG	20	SK	0	BR	19	BR	0	TR	19	PL	18	PL	21	SE	13	DE	20	FI
32	131	0.999802888936	12897	0.997042186449	5166	0.961875064179	289	0.890113043478	5869	0.796704070407	5359	0.779768817204	932	0.746292541636	8329	0.720694533762	689	0.662493150685	8010	0.637861601085	Madonna	0.0550030461107	Nelly Furtado	0.0297594946584	Alicia Keys	0.0284951197742	Wanessa	0.0273832579892	Shakira	0.0254542948186	Ricky Martin	0.0245837481805	Laura Pausini	0.0241622662744	Mariah Carey	0.0226902658163	Rihanna	0.0225598343368	P!nk	0.0222851476384	30	BR	17	PL	19	BR	29	US	20	BR	22	BR	25	IT	20	BR	22	IT	0	IT
33	2310	0.96025935331	1074	0.927384515501	6362	0.918845861257	9946	0.910192095198	3783	0.902794356049	8784	0.890018720749	13454	0.888926503341	11891	0.858819727891	3594	0.841317790766	13218	0.826104972376	Los Hermanos	0.0477048720887	Legião Urbana	0.0264782279858	The Beatles	0.0257006034027	Arctic Monkeys	0.0203605786369	Charlie Brown JR.	0.0182435316051	[unknown]	0.0170775420428	Coldplay	0.0164266586126	Engenheiros Do Hawaii	0.0157716276526	<Artista Desconhecido>	0.0145849353401	Chico Buarque	0.0145098095228	21	BR	33	BR	21	BR	25	BR	25	BR	20	BR	20	BR	19	BR	24	BR	17	BR
34	7575	0.987170069016	10268	0.964005442177	8644	0.940268199234	4439	0.930585501389	9713	0.923876872523	1832	0.915555711282	12475	0.90183203125	5527	0.895810157195	5891	0.890208314707	5625	0.88928988764	Rihanna	0.09184166005	Chris Brown	0.0703505954029	Usher	0.0314487843732	Beyoncé	0.0305071263031	Nicki Minaj	0.0301428021312	Kanye West	0.0254492226313	Drake	0.0250338898181	Ne-Yo	0.0191677277901	Justin Bieber	0.0179626001774	Ciara	0.0175358663451	21	DE	22	CL	19	BR	20	UA	19	BR	23	UK	18	BR	20	RU	20	DE	20	BR
35	4857	0.989474790665	1661	0.987542724098	1583	0.984286043071	1765	0.976175446049	1763	0.969012215253	6825	0.967506781093	5089	0.965356321839	4143	0.960086457874	5629	0.947261766024	5033	0.942870681145	Madonna	0.251946492407	Kylie Minogue	0.0963509663075	Lady Gaga	0.0539229906373	Christina Aguilera	0.0300463726918	Britney Spears	0.0284272179846	Cher	0.0163622770345	Rihanna	0.0143382456028	Mylène Farmer	0.0139377419856	Lana Del Rey	0.0136419639735	Beyoncé	0.0124661811347	21	CL	21	KZ	37	LU	25	AT	26	GR	21	BR	22	RU	22	AR	26	AR	0	VN
36	12690	0.978211886305	6077	0.96394212963	8678	0.949001329923	9796	0.937157397532	6933	0.920741708543	7277	0.907845410628	3566	0.892886498247	11384	0.868021429441	8498	0.863104820199	3384	0.850451809735	Katy Perry	0.101168150464	Paramore	0.0959953584126	Avril Lavigne	0.0736302903531	Rihanna	0.0468540128049	The Pretty Reckless	0.0459797076224	Lady Gaga	0.0422803077886	Ke$ha	0.0300169365695	Taylor Swift	0.0243993746213	Evanescence	0.0234021001609	Lana Del Rey	0.0180587054864	19	BR	19	BR	19	BR	20	BR	0	MX	0	US	21	BR	17	BR	18	BR	23	TR
37	10443	0.989309708258	11180	0.981938159331	12478	0.975300399564	9893	0.966576939939	14348	0.964567708333	8996	0.959674705252	11916	0.958510891089	13344	0.958262341326	12009	0.957998331943	4341	0.957908856406	The Beatles	0.116701214093	Pink Floyd	0.0396031178731	Nirvana	0.0386132364664	Red Hot Chili Peppers	0.0335072056189	Led Zeppelin	0.0329043061	Pearl Jam	0.0211721809698	Foo Fighters	0.0196696441268	The Rolling Stones	0.0196169740468	Paul McCartney	0.0192567374152	The Doors	0.0192341535869	17	BR	21	IN	0	US	18	CO	17	FR	18	BR	21	UK	17	BR	14	MX	0	IS
38	5572	0.998366263118	7674	0.986902085543	6866	0.973086638492	5689	0.952995723885	7838	0.948076569175	4236	0.943260587239	8026	0.93444137931	7546	0.912212028542	9106	0.910967365967	5211	0.907674943567	Britney Spears	0.279095873266	Christina Aguilera	0.06582882949	Madonna	0.0651351135962	Rihanna	0.0617950877461	Lady Gaga	0.0595389801236	Katy Perry	0.0417861867021	Ke$ha	0.0338752946021	Avril Lavigne	0.0307099723128	Beyoncé	0.0207204693473	Kylie Minogue	0.01563873035	22	BR	20	BR	22	SV	24	MX	20	BR	19	PL	18	BR	19	BR	15	BR	18	BR
39	7059	0.985773752013	1625	0.984893763517	7243	0.981721146953	8434	0.975609434441	1801	0.970613648576	3961	0.962606772633	14720	0.961192569098	11356	0.935125780553	2300	0.934711746253	4670	0.930852315394	Hans Zimmer	0.0440612765649	Bring Me the Horizon	0.0279962579054	A Day to Remember	0.024302839472	blink-182	0.0200108351805	John Williams	0.0181168207924	Asking Alexandria	0.0166823900575	Harry Gregson-Williams	0.0158596322379	Jeremy Soule	0.0150176124298	Howard Shore	0.01370819883	James Horner	0.0136906586047	19	RU	21	PL	27	ES	25	UK	25	US	23	US	18	PL	22	DE	22	DE	21	BR
