:q	to_Z_0	to_Z_1	to_Z_2	to_Z_3	to_Z_4	to_Z_5	to_Z_6	to_Z_7	to_Z_8	to_Z_9	to_Z_10	to_Z_11	to_Z_12	to_Z_13	to_Z_14	to_Z_15	to_Z_16	to_Z_17	to_Z_18	to_Z_19	to_Z_20	to_Z_21	to_Z_22	to_Z_23	to_Z_24	to_Z_25	to_Z_26	to_Z_27	to_Z_28	to_Z_29	to_Z_30	to_Z_31	to_Z_32	to_Z_33	to_Z_34	to_Z_35	to_Z_36	to_Z_37	to_Z_38	to_Z_39
from_Z_10	0.0179797565722	0.0266830034185	0.0203453406957	0.0408835225557	0.0157427419328	0.0341082580541	0.0161929356646	0.0218590783598	0.0140489101885	0.0186816739799	0.0377927093809	0.0152879811625	0.0256989374378	0.0166668769013	0.0410165711108	0.0187194342013	0.0342669963902	0.0239368190633	0.0137169779373	0.0122830582553	0.0313783346277	0.0232417712008	0.0166655623962	0.0114765269372	0.0269679244173	0.0319882472834	0.0339091887208	0.0231502177794	0.0191479683838	0.0231940791392	0.0150028562275	0.0369634975082	0.037394767107	0.0294892177499	0.0164326015014	0.0543682594468	0.0111407140984	0.0344745778733	0.0362268693417	0.0214752349976
from_Z_11	0.0115654209643	0.0263497369889	0.0125701549659	0.0475669034705	0.018598648198	0.0155462197957	0.0100867823298	0.0127114198423	0.010870453882	0.0122097142698	0.0171662781901	0.0115460779654	0.0151061846207	0.0116203410311	0.0671105018897	0.0131110335831	0.0146750692423	0.0110447817523	0.0175068513059	0.0116550101889	0.0226354989725	0.0130894579246	0.320160911978	0.0105582732749	0.0130145772721	0.0105317306072	0.0181777065907	0.0122903343342	0.0177636648364	0.0186974462882	0.00991521941026	0.0271439849318	0.0102480159416	0.0128448190807	0.0124317491072	0.0216425034434	0.0128237771495	0.0356534451825	0.0159019038606	0.0158573953369
from_Z_12	0.00989963695067	0.0443669243785	0.0144388329186	0.0687355429758	0.0671479458407	0.0301991689725	0.0249343267007	0.0129721796242	0.0116696217251	0.0132674444443	0.0502248970901	0.0118390892969	0.0161951600102	0.00995204347456	0.117965694997	0.0198150802913	0.0143194007527	0.0136010510493	0.009478184783	0.0179281195657	0.0288290145354	0.00924101352375	0.0285894148782	0.00589852180451	0.0194338942173	0.0108209647603	0.0176776423524	0.00590340667963	0.0177890151117	0.0514056164106	0.00771886306238	0.0406801422704	0.00776768957812	0.0200061003406	0.0216049963051	0.0274327074363	0.00993081836601	0.064749556397	0.0158444879453	0.00972578818295
from_Z_13	0.0162864833202	0.0274679193923	0.0186702245214	0.0338892089618	0.0650679223352	0.0369767732219	0.00929706196126	0.0147436679248	0.00944278640208	0.0136942470451	0.0181005669458	0.0138048577583	0.017788529905	0.0225645078114	0.0373090076693	0.0129090628806	0.0211495395009	0.015750138371	0.0168382933091	0.0100843774658	0.0384661360868	0.015053511148	0.0380838280525	0.0126876153138	0.0249747507459	0.0119978336122	0.0227779304656	0.0161198964557	0.0134357279603	0.06090424309	0.0124527458305	0.0257459859251	0.0132880453508	0.0218336253193	0.0212974077247	0.0410324242145	0.0153629212928	0.0272168935857	0.029499079076	0.105934222046
from_Z_14	0.00861016296089	0.0337960989655	0.0081213024212	0.0599846811911	0.0362300014739	0.0271320898176	0.0303248463481	0.0197696076251	0.00718916958646	0.0206585331287	0.0197570800678	0.0112660806677	0.015554268875	0.0120547165486	0.0295224136398	0.0133283979375	0.0237495579866	0.0228018227124	0.0204879940281	0.016842008967	0.0461046162437	0.0577949611326	0.0247653113507	0.0231082303279	0.0318251603106	0.0186531421898	0.0196882007424	0.0594726327944	0.0173080733339	0.0212562140452	0.0202139476118	0.0487480912157	0.0134110934938	0.0114422766559	0.0182898586733	0.0409923552272	0.0103716972717	0.0353435478818	0.027516106666	0.0165136478826
from_Z_15	0.0108392881133	0.0307369849039	0.0179330699023	0.163764428945	0.0157631535681	0.0165974918674	0.0104527824161	0.0148770769697	0.0141875428374	0.0146523512359	0.0288579447734	0.0140173643661	0.0127868740125	0.0129316215884	0.134137423521	0.0167012180461	0.0212797270729	0.013030247306	0.0179354427989	0.0150294969216	0.0182022401275	0.0132513240594	0.0129569021992	0.0109868000642	0.015791539233	0.0131673681922	0.0225694174492	0.0128728786377	0.0315935915405	0.0133145480619	0.0109879891969	0.0421454665438	0.0108324142898	0.016676110577	0.016624531544	0.025918930899	0.0148486397748	0.0703177062809	0.0184179044564	0.0120121657073
from_Z_16	0.0198099476118	0.0551738407077	0.0186560345926	0.0334295184136	0.0171419613615	0.0447429546725	0.0134557851148	0.0237625845565	0.0136320189126	0.0189497298548	0.0188606863293	0.0157702957924	0.0254939102766	0.0301318834924	0.0272523459352	0.0172486932551	0.037411462353	0.0148197617653	0.0254903179697	0.0223525451063	0.0274280391275	0.0192048718295	0.0332800819994	0.0133809177523	0.0244801468563	0.0204847522639	0.0456962024114	0.0204759137384	0.0156609581612	0.0522132782325	0.016115870164	0.0210741623124	0.0177191578878	0.0137356077447	0.0187237186127	0.0350127552299	0.0199330891065	0.0349907111172	0.0231042486021	0.0336992387764
from_Z_17	0.0107138052116	0.0388626207909	0.0338946944911	0.0604196312196	0.0218562789377	0.0204322409	0.0105263052186	0.0201677164964	0.0170637622179	0.012357514597	0.030759070769	0.0124881043741	0.0251049438444	0.0318798307604	0.117123489976	0.0110630873748	0.0205128947429	0.0117470526085	0.0260391622711	0.0148375058083	0.027801954076	0.0260325548375	0.0227579304856	0.0102491833673	0.0142501419542	0.011855500596	0.023635716862	0.0197264981627	0.0265073855163	0.0193705165363	0.0115700039025	0.0488864608487	0.00886411510525	0.0198287419083	0.0158296667549	0.0268504966018	0.0226921895291	0.0578275884556	0.0188793379692	0.0187343039207
from_Z_18	0.0104717034445	0.0434460490654	0.0152051855466	0.0512525284323	0.0116878954179	0.0202703998214	0.0194303391384	0.0157073163244	0.00905847975014	0.00980070859215	0.0311267787733	0.0152117288475	0.0135415547968	0.0136628696916	0.036953959827	0.00972300943985	0.0315209172686	0.00951398811455	0.0106494618425	0.0234613424245	0.0413022423334	0.0125615617631	0.0210921977003	0.0165126705929	0.0599904380302	0.00962749915065	0.0409640564644	0.0594264594814	0.00956359690747	0.0304767037067	0.0121136472348	0.032414655432	0.0078982010706	0.0596398350324	0.0230478031191	0.041529253685	0.017693698018	0.0787806430731	0.0149788033729	0.00868981727212
from_Z_19	0.0102610089902	0.0300241825763	0.0216270661664	0.0627651770923	0.0413527620441	0.0334413045714	0.00885456677809	0.0253885521135	0.00743758358051	0.00841404998368	0.0376526779724	0.0104613152827	0.0305680474106	0.00943873899166	0.0178874758051	0.00879024756605	0.0726677839621	0.0488220900385	0.0102466231605	0.0192653387858	0.0450483196103	0.0156830766048	0.0141343908978	0.00737406889916	0.0278471249114	0.0107674909788	0.0290068402906	0.036415651178	0.00649449310316	0.067582240165	0.0123558446237	0.0283519713031	0.00855199087161	0.0298410667551	0.0137760414155	0.0365724007046	0.00667812986776	0.0478894381529	0.0227639406574	0.0174988861374
