	Z_0	Z_1	Z_2	Z_3	Z_4	Z_5	Z_6	Z_7	Z_8	Z_9	Z_10	Z_11	Z_12	Z_13	Z_14	Z_15	Z_16	Z_17	Z_18	Z_19	Z_20	Z_21	Z_22	Z_23	Z_24	Z_25	Z_26	Z_27	Z_28	Z_29
Z_10	0.0744426922366	0.00167919121021	0.0155967436438	0.0031328653366	0.0463558615601	0.000365266351424	0.0315529213629	0.0298672330026	0.0575563305981	0.0159964049891	0.448314128381	0.0190877542779	0.0239907125041	0.00209423947673	0.0639353297514	0.0182293526551	0.019802816655	0.0116200030439	0.00739982945382	0.0673743514043	0.00180849954373	0.063951229277	0.00928821288904	0.0139071007258	0.0460505994574	0.0024589431317	0.0119157669225	0.0837352220796	0.01109093226	0.0737245011368
Z_11	0.0725458841842	0.00103892405266	0.00384568225821	0.00480965464139	0.0126780051571	0.002461709601	0.00225779996711	0.000982357306583	0.0102854656929	0.00993181829248	0.0132831085961	0.575728741702	0.0125079590481	0.00726457450711	0.00610502188783	0.0694435655527	0.0714083993177	0.0056113004184	0.0383338924437	0.0137037322844	0.00401832339885	0.00403697037463	0.0218182700459	0.0387636916022	0.0011107421744	0.00686139030593	0.00278736319945	0.00603127731041	0.0127240015073	0.0161459900112
Z_12	0.0112453123473	0.00475166101321	0.0158135473618	0.00527784133146	0.0209644878745	0.0037183207003	0.00405970304806	0.000379828503908	0.00885925216844	0.00960069445168	0.0107932072595	0.0080862829432	0.628517743424	0.00916980331997	0.00581885424701	0.0319546678461	0.0106061503345	0.00852952534904	0.000586728917148	0.0148411887997	0.0055370781052	0.0207564746604	0.00530401487775	0.0302930249729	0.00388151756557	0.00357506937154	0.00223958151445	0.00327865895949	0.00452071353658	0.00591328143705
Z_13	0.00131906271909	0.0115986340983	0.00243318531134	0.014939744968	0.000491614883951	0.0553782658283	0.00087022673281	0.000214543124214	0.00493230335813	0.0130888822914	0.00102316601886	0.00510017479745	0.00995800675304	0.703893666953	0.000347369218692	0.00537237591763	0.0256272911626	0.00789607284891	0.00567126648834	0.00658182547814	0.0148381242449	0.000161149814983	0.00518114373329	0.0365857538334	0.000214960828113	0.0137548714465	0.00265640329793	0.0005956760327	0.0305384113832	0.00340501139052
Z_14	0.034680216731	0.000713458147815	0.00676982362804	0.000699787340616	0.025589932801	0.00086420916738	0.0710176441819	0.11734895869	0.0148646282458	0.00250956653575	0.0584797006695	0.0080242891393	0.0118302613787	0.000650333007718	0.522417468911	0.0185023171518	0.00455117523613	0.0100498858752	0.00284050824664	0.0511480868383	0.00043761745597	0.0410470590523	0.00569588490483	0.00739147222684	0.0417588145313	0.000460286419454	0.00670521253209	0.083700700328	0.00449775710251	0.0274624159307
Z_15	0.0189387109609	0.00130729446184	0.00560668092011	0.00255708835724	0.0386450517296	0.00564007430295	0.00430103386305	0.000967797598226	0.00839961925995	0.00508434666994	0.0107264582344	0.0587181309566	0.0417938169852	0.00647040889969	0.0119027411451	0.64739426453	0.00988312474187	0.00172249542668	0.00712848338814	0.0100345773458	0.0044841574834	0.0148258387911	0.00123397743993	0.0181517154493	0.00433331058759	0.00111948491076	0.00268118983336	0.00335359244278	0.00240727581173	0.00683666383085
Z_16	0.0428001377354	0.00426374589835	0.00558385210463	0.0071220001153	0.00391696415039	0.00796886725021	0.00282712934013	0.000658939539554	0.0210138470812	0.0123961506314	0.0136297164014	0.0706259435986	0.0162259547692	0.0361029583044	0.00342467354509	0.0115602980242	0.518333850489	0.0175456951403	0.0174882443991	0.0344860831033	0.0101028466308	0.000571622173569	0.0157012000297	0.0675559942117	0.000879585683327	0.0276027651791	0.00589481571108	0.0161986832622	0.0487279255913	0.0433161215981
Z_17	0.00203898587061	0.00644720865968	0.00828634117852	0.00946629287224	0.0020882589203	0.00199356879439	0.00320387347415	0.0083227129824	0.020757709766	0.0104860737437	0.00576147935966	0.0039980332488	0.0094003768072	0.00801344293957	0.00544784405024	0.00145144554467	0.0126397503108	0.758573176829	0.00532048610455	0.0070191437935	0.0119850981819	0.00151009871789	0.00710723430536	0.00838765134408	0.00206708729357	0.0143153524584	0.00938673917362	0.0127091323677	0.0140564706061	0.00569846949432
Z_18	0.0279101786439	0.00100025458617	0.0016626147825	0.00165702619532	0.00243082746035	0.00178142798624	0.000292606876981	0.000124077905411	0.00436262576397	0.00217698156674	0.00401563003585	0.0298930353546	0.00070772103848	0.00629929971522	0.00168524794545	0.00657421686119	0.0137885419438	0.00582311716093	0.839322786506	0.00183648086054	0.00349969225219	0.000605396772534	0.00503136662604	0.00390193509079	0.000344885545924	0.00323054081336	0.000874993560539	0.00146816367295	0.00132596839923	0.00188671810059
Z_19	0.0387158071019	0.00155156276817	0.00735535906934	0.0029914513762	0.00921433900514	0.00445836184777	0.0301989551362	0.0124178943155	0.0104658905428	0.0108169991076	0.0305557606768	0.00893084352894	0.0149609724059	0.00610977333497	0.0253608417868	0.00773414816718	0.0227238817178	0.00642029337099	0.00153480401125	0.388006381702	0.00184286046355	0.00706524474497	0.00793612523064	0.025083711025	0.0037804031018	0.00338497593531	0.0119287942751	0.0222487171349	0.0323096460894	0.0463440041746
